ATU
CNK
DNY
LOW
BIN
HPP
ECOM
IIF
MKL
GRX
JSD
GUA
ATO
AGD
EVG
CCV
BTT
HTD
AHL
LL
DXB
LDR
MGU
MN
BXMX
GMZ
CPB
DM
MHG
GSH
IHD
DSE
GB
AXTA
EEQ
FXCM
EQCO
HUN
CAG
MCC
BKN
BXS
ASX
HTGY
IGI
CTV
CVE
BGY
GS
BLT
CUBS
MC
HIO
LUX
CTY
DST
IVR
AF
MTB
CMRE
CGI
ARPI
JCE
CMN
JNS
LRN
BOXC
FPT
EVDY
CRY
KCG
ITG
KAI
KAR
EVTC
BEP
DAC
GJS
AGM
APO
MHF
EFR
ALK
AEG
LCM
GM
INVN
EVHC
AES
EAA
BBT
LM
HD
KHI
CFN
BMI
MSK
GCAP
MDLY
JGW
ARI
CNW
IND
BWP
KFY
BAF
MIY
CCO
CIR
ESL
BCO
HSP
FCT
CEB
KF
MRH
CTLT
CTR
GDP
BYM
CPK
GG
HLT
CHN
AVA
EMN
FMY
CMCM
FLO
ACN
KCC
BWA
AFSD
DDR
CTW
EVC
BGH
MCP
MBI
ABEV
KNM
CEQP
MOH
GPS
CLD
CBL
ENZ
MCR
FSS
MHNB
HCA
ETX
CRH
FPF
HIG
JHX
ECL
LND
GCO
MTN
GRO
JBR
CJES
HE
BNK
CCL
MHK
CF
DRII
CRT
EC
ATW
LAZ
GE
DG
CUBI
KMM
ACP
IQI
CBD
CHU
MDU
CLB
CIE
DK
CVEO
AP
CZZ
MSA
MTD
ETH
FICO
GFF
KO
ATI
BZT
KED
BRX
ACRE
FFG
ARP
DHG
INT
ADPT
AIG
MT
AWK
MRO
MBT
BKD
HPI
