CNK
LOW
HPP
ECOM
IIF
MKL
GRX
JSD
ATO
AGD
EVG
CCV
BTT
HTD
LL
MGU
MN
BXMX
GMZ
CPB
DM
GSH
IHD
DSE
GB
AXTA
EQCO
HUN
CAG
MCC
BKN
ASX
HTGY
IGI
CTV
CVE
BGY
GS
CUBS
MC
HIO
CTY
IVR
MTB
CMRE
JCE
LRN
FPT
CRY
ITG
KAI
KAR
EVTC
BEP
DAC
GJS
AGM
APO
MHF
EFR
ALK
AEG
GM
AES
BBT
LM
HD
BMI
GCAP
MDLY
ARI
IND
KFY
BAF
MIY
CCO
CIR
ESL
BCO
FCT
KF
CTLT
CTR
BYM
CPK
GG
HLT
CHN
AVA
EMN
FMY
CMCM
FLO
ACN
BWA
DDR
CTW
EVC
BGH
MCP
MBI
ABEV
CEQP
MOH
GPS
CLD
CBL
ENZ
MCR
FSS
MHNB
HCA
ETX
CRH
FPF
HIG
JHX
ECL
LND
GCO
MTN
HE
CCL
MHK
CF
CRT
EC
ATW
LAZ
GE
DG
CUBI
ACP
IQI
CBD
MDU
CLB
DK
CVEO
AP
CZZ
MSA
MTD
ETH
FICO
GFF
KO
ATI
BZT
BRX
ACRE
INT
ADPT
AIG
MT
AWK
MRO
MBT
BKD
HPI
