USA,USD,United States dollar,$
EUR,EUR,Euro,€
JPN,JPY,Japanese yen,¥
GBR,GBP,Pound sterling,£
AUS,AUD,Australian dollar,A$
CAN,CAD,Canadian dollar,CA$
CHE,CHF,Swiss franc,CHF
NZL,NZD,New Zealand dollar,NZ$
RUS,RUB,Russian ruble,RUB
ARG,ARS,Argentina peso,$
